school_name,qs_wur_2026_rank,qs_wur_2026_numeric,qs_rank_in_dataset,qs_other_qs_note,qs_source_url,program_name,year,employment_6m,employment_2yr,admission_overall_average,admit_share_80_plus,admit_share_85_plus,international_share,male_female_ratio,domestic_total_cost,international_total_cost,faculty_total_fte_est,total_funding,has_employment_target,has_any_admission_feature,has_any_school_level_feature
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Social Science,2021,93.37,97.51,84.1,74.8,49.2,0.091523179,0.4282382844808456,21684.18,44874.63,589,13492011.94,TRUE,TRUE,TRUE
Carleton University,781-790,785.5,11,,https://www.topuniversities.com/universities/carleton-university,Agriculture & Biological Science,2014,66.67,88.46,80.9,0,0,0.1020571600180189,1.1257374631268435,7353.215,26567.845,1252.1,19171986.04,TRUE,FALSE,TRUE
Carleton University,781-790,785.5,11,,https://www.topuniversities.com/universities/carleton-university,Agriculture & Biological Science,2015,71.88,87.8,80.9,0,0,0.1098721379720487,1.2858800132582031,7353.215,26567.845,1252.1,19352135,TRUE,FALSE,TRUE
Carleton University,781-790,785.5,11,,https://www.topuniversities.com/universities/carleton-university,Agriculture & Biological Science,2016,84.38,100,80.9,0,0,0.1124708624708624,0.8518803747914261,7428.55,25024.55,1252.1,20660770.7,TRUE,FALSE,TRUE
Carleton University,781-790,785.5,11,,https://www.topuniversities.com/universities/carleton-university,Agriculture & Biological Science,2017,83.72,87.8,80.9,59.9,27.2,0.1148686679174484,0.7611349389640383,7847.01,26490.01,1252.1,23367366.9,TRUE,TRUE,TRUE
Carleton University,781-790,785.5,11,,https://www.topuniversities.com/universities/carleton-university,Agriculture & Biological Science,2018,82.22,91.49,80.9,56.4,30.700000000000003,0.1173526660430308,0.992337893,7847.01,26490.01,1252.1,24110960,TRUE,TRUE,TRUE
Carleton University,781-790,785.5,11,,https://www.topuniversities.com/universities/carleton-university,Agriculture & Biological Science,2019,84.78,93.33,80.7,56.39999999999999,26.5,0.1199850892316294,1.0855477855477855,7209.68,26645.68,1252.1,26913783,TRUE,TRUE,TRUE
Carleton University,781-790,785.5,11,,https://www.topuniversities.com/universities/carleton-university,Agriculture & Biological Science,2020,81.4,93.02,83.1,68,44,0.1179941002949852,0.7869695213106751,7261.57,27462.57,1252.1,30867566.23,TRUE,TRUE,TRUE
Carleton University,781-790,785.5,11,,https://www.topuniversities.com/universities/carleton-university,Agriculture & Biological Science,2021,90,89.09,85.4,78.1,54.8,0.1163865133195714,0.7911017524792827,7277.88,28266.88,1252.1,31927496,TRUE,TRUE,TRUE
Carleton University,781-790,785.5,11,,https://www.topuniversities.com/universities/carleton-university,Architecture,2014,84.62,96.88,85.7,83.9,56.3,0.1020571600180189,0.6139676113360324,7353.215,26567.845,1383,19171986.04,TRUE,TRUE,TRUE
Carleton University,781-790,785.5,11,,https://www.topuniversities.com/universities/carleton-university,Architecture,2015,95,100,85.9,87.7,58.5,0.1098721379720487,0.6570346751693902,7353.215,26567.845,1383,19352135,TRUE,TRUE,TRUE
Carleton University,781-790,785.5,11,,https://www.topuniversities.com/universities/carleton-university,Architecture,2016,88.24,82.35,86,82.9,63.1,0.1124708624708624,0.6517857142857143,7428.55,25024.55,1383,20660770.7,TRUE,TRUE,TRUE
Carleton University,781-790,785.5,11,,https://www.topuniversities.com/universities/carleton-university,Architecture,2017,84,86.96,87.1,90,70,0.1148686679174484,0.9046208530805688,7847.01,26490.01,1383,23367366.9,TRUE,TRUE,TRUE
Carleton University,781-790,785.5,11,,https://www.topuniversities.com/universities/carleton-university,Architecture,2018,87.5,94.74,86.5,91.7,66.7,0.1173526660430308,0.9581770028691236,7847.01,26490.01,1383,24110960,TRUE,TRUE,TRUE
Carleton University,781-790,785.5,11,,https://www.topuniversities.com/universities/carleton-university,Architecture,2019,88.89,88.24,87.1,95,71.7,0.1199850892316294,0.7184733425142633,7209.68,26645.68,1383,26913783,TRUE,TRUE,TRUE
